1612746872,Mon Feb  8 09:14:32 2021,8584348
1612746883,Mon Feb  8 09:14:43 2021,8584289
1612746888,Mon Feb  8 09:14:48 2021,8584313
1612746915,Mon Feb  8 09:15:15 2021,8584161
1612746920,Mon Feb  8 09:15:20 2021,8584134
1612746925,Mon Feb  8 09:15:25 2021,8584111
1612746930,Mon Feb  8 09:15:30 2021,8584092
1612746935,Mon Feb  8 09:15:35 2021,8584074
1612746941,Mon Feb  8 09:15:41 2021,8584049
1612746946,Mon Feb  8 09:15:46 2021,8584026
1612746951,Mon Feb  8 09:15:51 2021,8584000
1612746956,Mon Feb  8 09:15:56 2021,8583977
1612746962,Mon Feb  8 09:16:02 2021,8583960
1612746967,Mon Feb  8 09:16:07 2021,8583945
1612746972,Mon Feb  8 09:16:12 2021,8583909
1612746977,Mon Feb  8 09:16:17 2021,8583879
1612746982,Mon Feb  8 09:16:22 2021,8583850
1612746988,Mon Feb  8 09:16:28 2021,8583823
1612746993,Mon Feb  8 09:16:33 2021,8583798
1612747156,Mon Feb  8 09:19:16 2021,8583130
1612747161,Mon Feb  8 09:19:21 2021,8583110
1612747205,Mon Feb  8 09:20:05 2021,8582922
1612747210,Mon Feb  8 09:20:10 2021,8582894
1612747215,Mon Feb  8 09:20:15 2021,8582883
1612747220,Mon Feb  8 09:20:20 2021,8582853
1612747226,Mon Feb  8 09:20:26 2021,8582826
1612747231,Mon Feb  8 09:20:31 2021,8582793
1612747236,Mon Feb  8 09:20:36 2021,8582778
1612747241,Mon Feb  8 09:20:41 2021,8582753
1612747247,Mon Feb  8 09:20:47 2021,8582733
1612747252,Mon Feb  8 09:20:52 2021,8582737
1612747257,Mon Feb  8 09:20:57 2021,8582699
1612747262,Mon Feb  8 09:21:02 2021,8582675
1612747267,Mon Feb  8 09:21:07 2021,8582671
1612747273,Mon Feb  8 09:21:13 2021,8582623
1612747278,Mon Feb  8 09:21:18 2021,8582605
1612747283,Mon Feb  8 09:21:23 2021,8582583
1612747288,Mon Feb  8 09:21:28 2021,8582553
1612747293,Mon Feb  8 09:21:33 2021,8582525
1612747299,Mon Feb  8 09:21:39 2021,8582503
1612747304,Mon Feb  8 09:21:44 2021,8582473
1612747309,Mon Feb  8 09:21:49 2021,8582440
1612747314,Mon Feb  8 09:21:54 2021,8582420
1612747320,Mon Feb  8 09:22:00 2021,8582395
1612747325,Mon Feb  8 09:22:05 2021,8582393
1612747330,Mon Feb  8 09:22:10 2021,8582350
1612747335,Mon Feb  8 09:22:15 2021,8582323
1612747342,Mon Feb  8 09:22:22 2021,8582279
1612747347,Mon Feb  8 09:22:27 2021,8582269
1612747352,Mon Feb  8 09:22:32 2021,8582246
1612747357,Mon Feb  8 09:22:37 2021,8582213
1612747362,Mon Feb  8 09:22:42 2021,8582212
1612747368,Mon Feb  8 09:22:48 2021,8582160
1612747373,Mon Feb  8 09:22:53 2021,8582172
1612747378,Mon Feb  8 09:22:58 2021,8582118
1612747383,Mon Feb  8 09:23:03 2021,8582097
1612747388,Mon Feb  8 09:23:08 2021,8582077
1612747394,Mon Feb  8 09:23:14 2021,8582054
1612747399,Mon Feb  8 09:23:19 2021,8582031
1612747404,Mon Feb  8 09:23:24 2021,8582008
1612747409,Mon Feb  8 09:23:29 2021,8581986
1612747415,Mon Feb  8 09:23:35 2021,8581968
1612747420,Mon Feb  8 09:23:40 2021,8581939
1612747425,Mon Feb  8 09:23:45 2021,8581926
1612747430,Mon Feb  8 09:23:50 2021,8581906
1612747435,Mon Feb  8 09:23:55 2021,8581886
1612747441,Mon Feb  8 09:24:01 2021,8581864
1612747446,Mon Feb  8 09:24:06 2021,8581837
1612747451,Mon Feb  8 09:24:11 2021,8581818
1612747456,Mon Feb  8 09:24:16 2021,8581802
1612747461,Mon Feb  8 09:24:21 2021,8581784
1612747466,Mon Feb  8 09:24:26 2021,8581750
1612747472,Mon Feb  8 09:24:32 2021,8581725
1612747540,Mon Feb  8 09:25:40 2021,8581415
1612747546,Mon Feb  8 09:25:46 2021,8581385
1612747567,Mon Feb  8 09:26:07 2021,8581291
1612747572,Mon Feb  8 09:26:12 2021,8581262
1612747578,Mon Feb  8 09:26:18 2021,8581243
1612747583,Mon Feb  8 09:26:23 2021,8581220
1612747601,Mon Feb  8 09:26:41 2021,8581140
1612747610,Mon Feb  8 09:26:50 2021,8581103
1612747619,Mon Feb  8 09:26:59 2021,8581067
1612747624,Mon Feb  8 09:27:04 2021,8581049
1612747634,Mon Feb  8 09:27:14 2021,8581012
1612747640,Mon Feb  8 09:27:20 2021,8580976
1612747648,Mon Feb  8 09:27:28 2021,8580957
1612747656,Mon Feb  8 09:27:36 2021,8580939
1612747672,Mon Feb  8 09:27:52 2021,8580854
1612747681,Mon Feb  8 09:28:01 2021,8580818
1612747692,Mon Feb  8 09:28:12 2021,8580766
1612747700,Mon Feb  8 09:28:20 2021,8580723
1612747710,Mon Feb  8 09:28:30 2021,8580681
1612747715,Mon Feb  8 09:28:35 2021,8580660
1612747726,Mon Feb  8 09:28:46 2021,8580618
1612747733,Mon Feb  8 09:28:53 2021,8580602
1612747746,Mon Feb  8 09:29:06 2021,8580537
1612747751,Mon Feb  8 09:29:11 2021,8580535
1612747762,Mon Feb  8 09:29:22 2021,8580450
1612747767,Mon Feb  8 09:29:27 2021,8580463
1612747773,Mon Feb  8 09:29:33 2021,8580399
1612747786,Mon Feb  8 09:29:46 2021,8580342
1612747794,Mon Feb  8 09:29:54 2021,8580312,-30
1612747804,Mon Feb  8 09:30:04 2021,8580266,-46
1612747817,Mon Feb  8 09:30:17 2021,8580201,-65
1612748082,Mon Feb  8 09:34:42 2021,8578963
1612748097,Mon Feb  8 09:34:57 2021,8578879
1612748167,Mon Feb  8 09:36:07 2021,8578601
1612748176,Mon Feb  8 09:36:16 2021,8578513
1612748188,Mon Feb  8 09:36:28 2021,8578468
1612748200,Mon Feb  8 09:36:40 2021,8578406
1612748210,Mon Feb  8 09:36:50 2021,8578371
1612748216,Mon Feb  8 09:36:56 2021,8578342
1612748231,Mon Feb  8 09:37:11 2021,8578271
1612748238,Mon Feb  8 09:37:18 2021,8578264
1612748249,Mon Feb  8 09:37:29 2021,8578197
1612748264,Mon Feb  8 09:37:44 2021,8578116
1612748274,Mon Feb  8 09:37:54 2021,8578077
1612748284,Mon Feb  8 09:38:04 2021,8578033
1612748293,Mon Feb  8 09:38:13 2021,8577998
1612748304,Mon Feb  8 09:38:24 2021,8577934
1612748318,Mon Feb  8 09:38:38 2021,8577858
1612748326,Mon Feb  8 09:38:46 2021,8577816
1612748337,Mon Feb  8 09:38:57 2021,8577772
1612748345,Mon Feb  8 09:39:05 2021,8577724
1612748353,Mon Feb  8 09:39:13 2021,8577700
1612748360,Mon Feb  8 09:39:20 2021,8577668
1612748370,Mon Feb  8 09:39:30 2021,8577612
1612748381,Mon Feb  8 09:39:41 2021,8577572
1612748387,Mon Feb  8 09:39:47 2021,8577545
1612748397,Mon Feb  8 09:39:57 2021,8577500
1612748406,Mon Feb  8 09:40:06 2021,8577459
1612748415,Mon Feb  8 09:40:15 2021,8577421
1612748427,Mon Feb  8 09:40:27 2021,8577378
1612748442,Mon Feb  8 09:40:42 2021,8577299
1612748448,Mon Feb  8 09:40:48 2021,8577272
1612748459,Mon Feb  8 09:40:59 2021,8577219
1612748470,Mon Feb  8 09:41:10 2021,8577188
1612748477,Mon Feb  8 09:41:17 2021,8577132
1612748491,Mon Feb  8 09:41:31 2021,8577066
1612748500,Mon Feb  8 09:41:40 2021,8577035
1612748517,Mon Feb  8 09:41:57 2021,8576975
1612748531,Mon Feb  8 09:42:11 2021,8576912
1612748541,Mon Feb  8 09:42:21 2021,8576868
1612748555,Mon Feb  8 09:42:35 2021,8576826
1612748568,Mon Feb  8 09:42:48 2021,8576779
1612748575,Mon Feb  8 09:42:55 2021,8576741
1612748587,Mon Feb  8 09:43:07 2021,8576681
1612748594,Mon Feb  8 09:43:14 2021,8576647
1612748609,Mon Feb  8 09:43:29 2021,8576582
1612748616,Mon Feb  8 09:43:36 2021,8576556
1612748625,Mon Feb  8 09:43:45 2021,8576510
1612748636,Mon Feb  8 09:43:56 2021,8576460
1612748642,Mon Feb  8 09:44:02 2021,8576436
1612748654,Mon Feb  8 09:44:14 2021,8576381
1612748665,Mon Feb  8 09:44:25 2021,8576359
1612748679,Mon Feb  8 09:44:39 2021,8576253
1612748684,Mon Feb  8 09:44:44 2021,8576222
1612748697,Mon Feb  8 09:44:57 2021,8576172
1612748712,Mon Feb  8 09:45:12 2021,8576110
1612748727,Mon Feb  8 09:45:27 2021,8576050
1612748734,Mon Feb  8 09:45:34 2021,8576023
1612748742,Mon Feb  8 09:45:42 2021,8576002
1612748755,Mon Feb  8 09:45:55 2021,8575948
